iter	Passed	Remaining
790	23444	6194
791	23471	6164
792	23493	6132
793	23516	6101
794	23540	6070
795	23563	6038
796	23586	6007
797	23612	5977
798	23637	5946
799	23662	5915
800	23685	5884
801	23710	5853
802	23734	5822
803	23761	5792
804	23785	5761
805	23811	5731
806	23834	5700
807	23858	5669
808	23880	5638
809	23901	5606
810	23924	5575
811	23947	5544
812	23970	5513
813	23994	5482
814	24019	5452
815	24042	5421
816	24065	5390
817	24088	5359
818	24110	5328
819	24134	5297
820	24165	5268
821	24187	5237
822	24211	5207
823	24233	5176
824	24254	5144
825	24277	5114
826	24300	5083
827	24326	5053
828	24348	5022
829	24375	4992
830	24398	4961
831	24421	4931
832	24444	4900
833	24466	4869
834	24488	4839
835	24510	4808
836	24533	4777
837	24555	4747
838	24578	4716
839	24600	4685
840	24623	4655
841	24646	4624
842	24669	4594
843	24692	4563
844	24714	4533
845	24737	4502
846	24758	4472
847	24781	4442
848	24804	4411
849	24825	4381
850	24848	4350
851	24875	4321
852	24900	4291
853	24928	4261
854	24954	4232
855	24980	4202
856	25009	4173
857	25037	4143
858	25062	4113
859	25090	4084
860	25115	4054
861	25141	4025
862	25172	3996
863	25198	3966
864	25220	3936
865	25245	3906
866	25271	3876
867	25295	3846
868	25319	3816
869	25340	3786
870	25366	3756
871	25391	3727
872	25416	3697
873	25438	3667
874	25466	3638
875	25493	3608
876	25518	3578
877	25544	3549
878	25569	3519
879	25594	3490
880	25617	3460
881	25643	3430
882	25667	3400
883	25695	3371
884	25722	3342
885	25751	3313
886	25781	3284
887	25807	3255
888	25838	3226
889	25875	3198
890	25910	3169
891	25940	3140
892	25965	3111
893	25991	3081
894	26016	3052
895	26039	3022
896	26062	2992
897	26086	2963
898	26114	2933
899	26140	2904
900	26166	2875
901	26189	2845
902	26210	2815
903	26236	2786
904	26262	2756
905	26286	2727
906	26310	2697
907	26334	2668
908	26358	2638
909	26383	2609
910	26410	2580
911	26439	2551
912	26467	2522
913	26495	2492
914	26524	2463
915	26553	2435
916	26584	2406
917	26614	2377
918	26642	2348
919	26669	2319
920	26694	2289
921	26719	2260
922	26746	2231
923	26771	2201
924	26795	2172
925	26823	2143
926	26852	2114
927	26877	2085
928	26905	2056
929	26930	2027
930	26956	1997
931	26985	1968
932	27011	1939
933	27035	1910
934	27060	1881
935	27082	1851
936	27106	1822
937	27129	1793
938	27154	1764
939	27179	1734
940	27205	1705
941	27230	1676
942	27254	1647
943	27277	1618
944	27301	1588
945	27324	1559
946	27344	1530
947	27368	1501
948	27392	1472
949	27416	1442
950	27440	1413
951	27463	1384
952	27488	1355
953	27517	1326
954	27541	1297
955	27566	1268
956	27592	1239
957	27615	1210
958	27641	1181
959	27665	1152
960	27690	1123
961	27717	1094
962	27741	1065
963	27766	1036
964	27789	1007
965	27813	978
966	27836	949
967	27861	921
968	27885	892
969	27909	863
970	27933	834
971	27957	805
972	27981	776
973	28005	747
974	28029	718
975	28053	689
976	28083	661
977	28121	632
978	28150	603
979	28176	575
980	28198	546
981	28225	517
982	28252	488
983	28276	459
984	28306	431
985	28332	402
986	28356	373
987	28381	344
988	28405	315
989	28427	287
990	28451	258
991	28474	229
992	28498	200
993	28525	172
994	28555	143
995	28582	114
996	28605	86
997	28628	57
998	28651	28
999	28675	0
